QUELLON,10,59,21,20
QUEMCHI,10,59,29,12
QUINCHAO,10,70,15,15
RIO NEGRO,10,64,22,14
SAN JUAN DE LA COSTA,10,67,20,13
SAN PABLO,10,65,21,14
AISEN,11,57,18,25
CHILE CHICO,11,61,20,19
CISNES,11,55,24,21
COCHRANE,11,50,35,15
COYHAIQUE,11,53,23,24
GUAITECAS,11,57,26,17
LAGO VERDE,11,49,37,14
OHIGGINS,11,59,29,12
RIO IBAÑEZ,11,51,35,14
TORTEL,11,54,32,14
ANTARTICA,12,17,42,41
CABO DE HORNOS,12,42,33,25
LAGUNA BLANCA,12,55,24,21
NATALES,12,63,16,21
PORVENIR,12,62,16,22
PRIMAVERA,12,60,15,25
PUNTA ARENAS,12,52,18,30
RIO VERDE,12,46,27,27
SAN GREGORIO,12,51,21,28
TIMAUKEL,12,50,33,17
TORRES DEL PAINE,12,53,24,23
ALHUE,13,61,18,21
BUIN,13,45,27,28
CALERA DE TANGO,13,40,34,26
CERRILLOS,13,50,24,26
CERRO NAVIA,13,58,18,24
COLINA,13,40,37,23
CONCHALI,13,52,22,26
CURACAVI,13,54,26,20
EL BOSQUE,13,54,21,25
EL MONTE,13,53,25,22
ESTACION CENTRAL,13,53,22,25
HUECHURABA,13,49,23,28
INDEPENDENCIA,13,47,26,27
ISLA DE MAIPO,13,52,24,24
LA CISTERNA,13,45,27,28
LA FLORIDA,13,47,23,30
LA GRANJA,13,57,18,25
LA PINTANA,13,61,15,24
LA REINA,13,34,36,30
LAMPA,13,50,26,24
LAS CONDES,13,19,58,23
LO BARNECHEA,13,18,63,19
LO ESPEJO,13,61,16,23
LO PRADO,13,55,19,26
MACUL,13,46,25,29
MAIPU,13,45,22,33
MARIA PINTO,13,60,23,17
MELIPILLA,13,54,25,21
ÑUÑOA,13,39,30,31
PADRE HURTADO,13,53,20,27
PAINE,13,49,28,23
PEDRO AGUIRRE CERDA,13,59,17,24
PEÑAFLOR,13,49,23,28
PEÑALOLEN,13,50,22,28
PIRQUE,13,40,33,27
PROVIDENCIA,13,29,41,30
PUDAHUEL,13,53,18,29
PUENTE ALTO,13,47,21,32
QUILICURA,13,48,20,32
QUINTA NORMAL,13,51,23,26
RECOLETA,13,51,24,25
RENCA,13,55,19,26
SAN BERNARDO,13,49,23,28
SAN JOAQUIN,13,56,19,25
SAN JOSE DE MAIPO,13,51,24,25
SAN MIGUEL,13,46,26,28
SAN PEDRO,13,59,25,16
SAN RAMON,13,60,18,22
SANTIAGO,13,43,27,30
TALAGANTE,13,45,28,27
TILTIL,13,55,26,19
VITACURA,13,14,66,20
CORRAL,14,69,16,15
FUTRONO,14,57,27,16
LA UNION,14,54,27,19
LAGO RANCO,14,49,35,16
LANCO,14,56,28,16
LOS LAGOS,14,63,22,15
MAFIL,14,59,24,17
MARIQUINA,14,63,20,17
PAILLACO,14,61,23,16
PANGUIPULLI,14,56,27,17
RIO BUENO,14,55,27,18
VALDIVIA,14,55,20,25
ARICA,15,45,21,34
CAMARONES,15,41,26,33
GENERAL LAGOS,15,50,22,28
PUTRE,15,46,24,30
